ABN AMRO BANK NV,ABNA
AEGON BANK NV,AEGO
ALLIANZ NEDERLAND ASSET MANAGEMENT,ANAA
ANADOLUBANK NEDERLAND NV,ANDL
ACHMEA RETAIL BANK NV,ARBN
ARGENTA SPAARBANK NV,ARSN
GE ARTESIA BANK,ARTE
ASN BANK,ASNB
AMSTERDAM TRADE BANK NV,ATBA
BANQUE CHAABI DU MAROC,BCDM
INTESA SANPAOLO SPA,BCIT
BINCKBANK NV,BICK
BINCKBANK NV,BINK
BANK OF CHINA,BKCH
BANK MENDES GANS NV,BKMG
BLG WONEN,BLGW
BMCE EUROSERVICES,BMEU
NV BANK NEDERLANDSE GEMEENTEN,BNGH
BNP PARIBAS SA,BNPA
BANK OF AMERICA NA,BOFA
BANK OF SCOTLAND PLC,BOFS
BANK OF TOKYO-MITSUBISHI UFJ,BOTK
BUNQ,BUNQ
JPMORGAN CHASE,CHAS
CITCO BANK NEDERLAND,CITC
CITIBANK INTERNATIONAL PLC,CITI
COMMERZBANK AG,COBA
DEUTSCHE BANK,DEUT
DEMIR-HALK BANK (NEDERLAND) NV,DHBN
DELTA LLOYD BANK NV,DLBK
NIBC BANK NV,DNIB
CREDIT EUROPE BANK NV,FBHL
DE NEDERLANDSCHE BANK NV,FLOR
FRIESLAND BANK NV,FRBK
FRIESCH GRONINGSE HYPOTHEEK BANK,FRGH
ABN AMRO BANK NV,FTSB
F.VAN LANSCHOT BANKIERS NV,FVLB
THEODOOR GILISSEN NV,GILL
(SVENSKA) HANDELSBANKEN AB,HAND
HOF HOORNEMAN BANKIERS,HHBA
HSBC BANK PLC,HSBC
INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ICBK
ING BANK NV,INGB
INSINGER DE BEAUFORT NV,INSI
ISBANK,ISBK
YAPI KREDI BANK NEDERLAND NV,KABA
KAS BANK NV,KASA
KNAB,KNAB
KOREA EXCHANGE BANK,KOEX
KBC BANK NEDERLAND NV,KRED
LOMBARD ODIER DARIER HENTSCH & CIE,LOCY
LLOYDS TSB BANK PLC,LOYD
LEASEPLAN CORPORATION NV,LPLN
MIZUHO CORPORATE BANK NEDERLAND NV,MHCB
NATIONALE-NEDERLANDEN BANK NV,NNBA
NEDERLANDSE WATERSCHAPSBANK NV,NWAB
CHINA CONSTRUCTION BANK SA,PCBC
RABOBANK GROEP,RABO
ROYAL BANK OF SCOTLAND,RBOS
REGIOBANK,RBRB
SNS BANK NV,SNSB
SOCIETE GENERALE,SOGE
STAALBANKIERS NV,STAL
THE ECONOMY BANK NV,TEBU
TRIODOS BANK NV,TRIO
UBS BANK (NETHERLANDS) BV,UBSW
GARANTIBANK INTERNATIONAL NV,UGBI
VOLKSWAGEN BANK,VOWA
ZWITSERLEVENBANK,ZWLB